id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
1;01103;347;;RUE;DU CHATEAU;01170;48.22;48;3;2
2;06004;4;;BD;EDOUARD BAUDOIN;06160;39.11;40;1;2
3;06088;20;B;RUE;MARCEAU;06000;80.25;82;3;2
4;06123;550;;RTE;DES VESPINS RN7;06700;27.51;27;1;2
5;13005;9300;;RES;LES ARPEGES BD DES ABA;13400;47.33;47;2;2
6;13028;27;;RUE;DU GRAND MADIER;13600;25.31;24;1;2
7;13208;360;;AV;DU PRADO;13008;70.84;70;3;2
8;13212;5076;F;PARC;DESSUARD;13012;67.19;66;3;2
9;14338;1194;;RUE;DE NORMANDIE;14510;18.89;19;1;2
10;14366;30;;ALL;DES NOISETIERS;14100;105.37;99;4;1
11;17300;11;;RUE;ROUGET DE L ISLE;17000;31.99;34;2;2
12;25056;13;;RUE;BERTHE MORISOT;25000;96.21;100;5;1
13;29232;1;;RUE;DU POHER;29000;30.86;31;1;2
14;29260;2;;RUE;DES JARDINS;29290;66.21;67;3;2
15;31555;5;;AV;DU COMMANDANT TAILLANDIER;31500;45.58;46;2;2
16;33063;15;;RUE;PAUL DENUCE;33800;23.2;27;1;2
17;33063;176;;RUE;SAINTE CATHERINE;33000;13.1;12;1;2
18;33097;822;G;;LA BAYNASSE SUD;33121;29;29;2;2
19;33449;9;;RUE;DE BELFORT;33160;51.4;51;2;2
20;34145;183;;RUE;MARC ANTOINE MENARD;34400;16.79;18;1;2
21;34150;50;;AV;ANDRE CHASSEFIERE;34340;51.4;51;2;2
22;34199;8;;PL;DES ETATS DU LANGUEDOC;34120;68.22;85;3;2
23;37156;7;;RUE;JEAN-JACQUES ROUSSEAU;37270;88.45;89;4;1
24;37261;197;;AV;DE GRAMMONT;37000;42.94;46;2;2
25;38185;48;;BD;MAL FOCH;38000;76.48;77;4;2
26;40266;210;;RTE;DU TAILLEUR;40170;48.23;53;3;1
27;40328;199;;RES;MER ET GOLF-LE BOUCANIER;40480;49.91;48;2;2
28;44143;3;;ALL;JEAN PERRIN;44400;46.3;45;2;2
29;44184;12;;RUE;FERDINAND BUISSON;44600;47.24;48;2;2
30;51230;35;;AV;DE CHAMPAGNE;51200;81.09;79;4;2
31;54395;26;;RUE;MESSIER;54000;39.69;39;2;2
32;56161;5794;;;GOLF SAINT LAURENT;56400;43.85;44;3;2
33;58194;5;;RUE;DE PRUNEVEAUX;58000;108.78;124;4;2
34;59512;118;;BD;DU GENERAL DE GAULLE;59100;89.84;71;3;2
35;60057;247;;RUE;DE NOTRE DAME DU THIL;60000;48.35;48;2;2
36;60155;34;;RUE;DE LA VILLE;60660;19.11;18;1;2
37;60159;15;;SQ;JEAN BAPTISTE CLEMENT;60200;97.39;97;5;2
38;60524;84;;AV;JEAN JAURES;60290;31.73;32;1;2
39;69149;54;;RUE;DE LA BUSSIERE;69600;49.89;51;2;2
40;69384;15;;RUE;ARTAUD;69004;20.02;20;1;2
41;74119;1;;AV;D ABONDANCE;74500;34.86;33;2;2
42;74236;950;;AV;DU MONT D ARBOIS;74170;39.05;39;2;2
43;74238;110;;RTE;DE LA TELECABINE;74430;18.93;20;1;2
44;74278;2308;;AV;DES VALLEES;74300;88.59;88;4;2
45;75105;22;;BD;SAINT MARCEL;75005;30.05;41;2;2
46;75110;45;;BD;DE MAGENTA;75010;32.3;32;2;2
47;75111;14;;AV;DE LA REPUBLIQUE;75011;120.28;120;4;2
48;75111;160;;RUE;SAINT MAUR;75011;17.94;28;2;2
49;75111;11;;RUE;DU MOULIN JOLY;75011;28.39;28;2;2
50;75112;36;;RUE;ERARD;75012;18;41;2;2
51;75112;220;;RUE;DE CHARENTON;75012;51.44;51;3;2
52;75112;17;;RUE;D AUSTERLITZ;75012;10.06;10;1;2
53;75115;60;A;RUE;EMERIAU;75015;88.3;88;4;2
54;75118;4;;RUE;SQUARE CARPEAUX;75018;23.98;18;1;2
55;75118;36;;AV;DE CLICHY;75018;53.59;39;2;2
56;75118;68;;RUE;MARCADET;75018;24.3;25;2;2
57;76217;16;;AV;ALEXANDRE ANQUETIN;76200;61.52;59;4;2
58;76451;5;;PARC;DE LA BRESLE;76130;57.27;58;3;2
59;76655;4;;RUE;FRANCOIS LAPERT;76460;23.98;25;1;2
60;77118;5;B;RUE;DE LA SOLIDARITE;77410;35.32;40;2;2
61;78350;4;;ALL;HELENE LAZAREFF;78430;89.41;89;4;2
62;78423;1;;AV;DE DENTON;78180;106.19;107;5;2
63;78545;15;;RUE;ROBERT DESNOS;78210;67.76;70;4;2
64;78545;1;;RUE;MAL DE LATTRE DE TASSIGNY;78210;40.55;40;2;2
65;78551;53;;RUE;DE MAREIL;78100;84.31;142;5;2
66;78586;1;;RUE;MAETERLINCK;78500;74;74;3;2
67;78640;2;;RUE;DIVISION LECLERC;78140;49.16;48;2;2
68;83062;;;;LES SAVELS;83130;50.74;50;2;2
69;83069;31;;AV;DE LA SABLIERE CAPTE;83400;20.15;20;1;2
70;83112;9100;;RES;LE GRAND SOLEIL;83270;47.52;38;2;2
71;83123;8;;ALL;DES PAQUERETTES;83110;86.92;91;5;1
72;84007;43;;RUE;CAMPANE;84000;37.24;40;2;2
73;85047;78;;RUE;CARNOT;85300;43.12;45;2;2
74;86062;20;B;ALL;DU HAUT POITOU;86360;30.42;30;1;2
75;86194;9007;;RUE;DES DOUVES;86000;71.03;75;4;2
76;87075;14;;RUE;DU CLUZEAU;87170;62.95;62;2;2
77;87085;8;;RUE;GEORGES BELJEAN;87100;43.54;43;2;2
78;91249;2;;RUE;D ADELAIAU;91470;128.34;128;5;2
79;91689;6;;RUE;DE LA DIVISION LECLERC;91320;43.42;43;2;2
80;92025;79;;RUE;DE VARSOVIE;92700;49.45;55;3;2
81;92026;5;;BD;GEORGES CLEMENCEAU;92400;62.1;65;3;2
82;92036;32;;RUE;GEORGES THORETTON;92230;59.35;59;3;2
83;92044;74;;RUE;JULES GUESDE;92300;52.85;55;2;2
84;93032;35;;AV;SAINTE FOY;93220;106.31;90;4;1
85;93051;4;;ALL;JOSEPHINE;93160;77.93;77;4;2
86;93057;129;;ALL;JULES AUFFRET;93320;46;46;2;2
87;93071;1;;PL;GASTON BUSSIERE;93270;24.63;24;2;2
88;94044;21;;RUE;CLAUDE BERNARD;94450;67.1;67;3;2
89;94060;18;;RUE;DE PROVENCE;94510;80;66;4;1
90;94060;4;;RUE;DU CLOS SAINT NICOLAS;94510;48.02;49;2;2
91;94080;7;;RUE;DE L EGALITE;94300;16.37;17;1;2
92;95252;16;;RUE;DE LA FOSSE AUX BICHES;95130;72.53;69;4;2
93;95388;57;;ALL;DU VEXIN;95180;90.07;93;5;1
94;95607;9004;;RES;LES LIGNIERES;95150;57.1;56;3;2
95;01262;9;;RUE;NEUVE;01120;41.82;47;1;2
96;02408;27;;RUE;FERNAND THUILLART;02000;165.11;156;6;2
97;03190;2;;RUE;DENAIN;03000;124.01;77;3;2
98;04073;7052;;RES;LES CHENEVRIERS;04400;24.32;25;1;2
99;04166;7102;;PL;DE L ENGIEN;04500;106.43;133;4;2
100;04209;9002;;PL;DU DOCTEUR ROBERT;04200;32.89;33;1;2
101;06004;15;;AV;NIQUET;06600;37.66;41;2;2
102;06027;7;;CHE;DE SAINT LAURENT;06800;58.42;58;3;2
103;06088;8;;RUE;ROSSINI;06000;99.04;98;4;2
104;06088;27;;RUE;LAMARTINE;06000;30.2;95;3;2
105;06088;4;;AV;VALROSE;06100;68.75;68;3;2
106;06159;15;B;AV;VICTOR CAUVIN;06230;56.05;58;2;2
107;10323;5;;IMP;DU CHANT DE L ALOUETTE;10100;55.5;52;3;2
108;13119;5279;F;RUE;DU 14 JUILLET;13470;53.09;51;3;2
109;13201;55;;RUE;FRANCIS DAVSO;13001;48.24;50;2;2
