id_commune;population_municipale;population_comptee_a_part;population_totale
01001;779;19;798
01002;256;1;257
01004;14134;380;14514
01005;1751;25;1776
01006;112;6;118
01007;2800;115;2915
01008;762;15;777
01009;326;9;335
01010;1105;17;1122
01011;368;11;379
01012;329;4;333
01013;143;4;147
01014;3349;93;3442
01015;650;17;667
01016;460;9;469
01017;457;16;473
01019;27;4;31
01021;1457;28;1485
01022;1249;18;1267
01023;76;0;76
01024;3251;65;3316
01025;4065;106;4171
01026;973;68;1041
01027;2563;52;2615
01028;617;17;634
01029;685;8;693
01030;829;15;844
01031;3652;234;3886
01032;3376;29;3405
01033;16378;350;16728
01034;9182;400;9582
01035;310;8;318
01036;1326;19;1345
01037;308;4;312
01038;754;21;775
01039;443;8;451
01040;486;10;496
01041;748;21;769
01042;291;14;305
01043;4754;113;4867
01044;632;16;648
01045;283;4;287
01046;895;8;903
01047;1182;32;1214
01049;3283;73;3356
01050;365;4;369
01051;91;1;92
01052;328;6;334
01053;41111;1742;42853
01054;1457;32;1489
01056;349;5;354
01057;519;16;535
01058;828;21;849
01060;493;21;514
01061;1144;35;1179
01062;934;22;956
01063;533;7;540
01064;1070;20;1090
01065;1812;64;1876
01066;89;1;90
01067;255;13;268
01068;775;15;790
01069;1503;39;1542
01071;4808;117;4925
01072;3194;62;3256
01073;1000;25;1025
01074;2589;35;2624
01075;1382;31;1413
01076;125;3;128
01077;196;3;199
01078;1557;33;1590
01079;811;31;842
01080;643;14;657
01081;735;21;756
01082;628;14;642
01083;927;17;944
01084;895;18;913
01085;400;5;405
01087;282;10;292
01088;903;27;930
01089;2253;50;2303
01090;356;6;362
01092;1604;58;1662
01093;4931;203;5134
01094;761;12;773
01095;853;12;865
01096;1034;30;1064
01098;1159;36;1195
01099;1566;57;1623
01100;131;4;135
01101;152;7;159
01102;961;15;976
01103;2149;47;2196
01104;461;10;471
01105;1829;53;1882
01106;179;7;186
01107;133;4;137
01108;1176;24;1200
01109;2226;46;2272
01110;156;2;158
01111;132;1;133
01112;450;12;462
01113;817;12;829
01114;667;12;679
01115;1333;30;1363
01116;498;12;510
01117;151;2;153
01118;1278;32;1310
01121;116;1;117
01123;1162;35;1197
01124;689;8;697
01125;612;13;625
01127;508;8;516
01128;305;1;306
01129;291;6;297
01130;2363;44;2407
01133;394;6;400
01134;1758;45;1803
01135;2171;64;2235
01136;893;20;913
01138;3004;64;3068
01139;444;5;449
01140;767;19;786
01141;453;15;468
01142;4777;57;4834
01143;9951;239;10190
01145;1179;22;1201
01146;436;3;439
01147;492;3;495
01148;1879;46;1925
01149;1076;28;1104
01150;214;5;219
01151;1146;27;1173
01152;748;20;768
01153;2115;74;2189
01155;143;4;147
01156;815;12;827
01157;2250;42;2292
01158;1048;17;1065
01159;3365;71;3436
01160;10026;163;10189
01162;65;3;68
01163;2038;35;2073
01165;1594;33;1627
01166;2423;61;2484
01167;634;24;658
01169;641;22;663
