id_vente;id_bien;numero_disposition;date_mutation;nature_mutation;valeur_fonciere;nombre_lots
1;1;1;2020-01-02;Vente;165000;2
2;2;1;2020-01-02;Vente;355680;2
3;3;1;2020-01-02;Vente;229500;1
4;4;1;2020-01-02;Vente;125000;1
5;5;1;2020-01-02;Vente;90000;1
6;6;1;2020-01-02;Vente;93000;1
7;7;1;2020-01-02;Vente;298100;2
8;8;1;2020-01-02;Vente;163500;2
9;9;1;2020-01-02;Vente;53000;2
10;10;1;2020-01-02;Vente;136000;2
11;11;1;2020-01-02;Vente;125900;1
12;12;1;2020-01-02;Vente;234000;1
13;13;1;2020-01-02;Vente;46210;2
14;14;1;2020-01-02;Vente;129000;2
15;15;1;2020-01-02;Vente;122500;1
16;16;1;2020-01-02;Vente;86025;1
17;17;1;2020-01-02;Vente;79000;1
18;18;1;2020-01-02;Vente;81795;1
19;19;1;2020-01-02;Vente;156000;1
20;20;1;2020-01-02;Vente;139900;2
21;21;1;2020-01-02;Vente;163870;1
22;22;1;2020-01-02;Vente;108100;1
23;23;1;2020-01-02;Vente;205000;1
24;24;1;2020-01-02;Vente;94000;2
25;25;1;2020-01-02;Vente;149500;2
26;26;1;2020-01-02;Vente;111500;1
27;27;1;2020-01-02;Vente;140000;1
28;28;1;2020-01-02;Vente;122850;2
29;29;1;2020-01-02;Vente;135850;2
30;30;1;2020-01-02;Vente;135500;2
31;31;1;2020-01-02;Vente;71250;1
32;32;1;2020-01-02;Vente;107000;1
33;33;1;2020-01-02;Vente;148400;1
34;34;1;2020-01-02;Vente;132000;3
35;35;1;2020-01-02;Vente;107194;1
36;36;1;2020-01-02;Vente;57200;1
37;37;1;2020-01-02;Vente;124770;2
38;38;1;2020-01-02;Vente;67000;1
39;39;1;2020-01-02;Vente;150830;1
40;40;1;2020-01-02;Vente;68900;1
41;41;1;2020-01-02;Vente;120000;2
42;42;1;2020-01-02;Vente;135460;1
43;43;1;2020-01-02;Vente;62000;1
44;44;1;2020-01-02;Vente;281000;1
45;45;1;2020-01-02;Vente;357000;1
46;46;1;2020-01-02;Vente;374000;2
47;47;1;2020-01-02;Vente;1147650;2
48;48;1;2020-01-02;Vente;145000;1
49;49;1;2020-01-02;Vente;324120;1
50;50;1;2020-01-02;Vente;408220;2
51;51;1;2020-01-02;Vente;582670;1
52;52;1;2020-01-02;Vente;80000;1
53;53;1;2020-01-02;Vente;840250;2
54;54;1;2020-01-02;Vente;266000;1
55;55;1;2020-01-02;Vente;473000;1
56;56;1;2020-01-02;Vente;207200;1
57;57;1;2020-01-02;Vente;49000;2
58;58;1;2020-01-02;Vente;101250;2
59;59;1;2020-01-02;Vente;35000;1
60;60;1;2020-01-02;Vente;132000;1
61;61;1;2020-01-02;Vente;472950;1
62;62;1;2020-01-02;Vente;478161;2
63;63;1;2020-01-02;Vente;153700;2
64;64;1;2020-01-02;Vente;155800;1
65;65;1;2020-01-02;Vente;624000;1
66;66;1;2020-01-02;Vente;135700;1
67;67;1;2020-01-02;Vente;196000;2
68;68;1;2020-01-02;Vente;172850;1
69;69;1;2020-01-02;Vente;120500;1
70;70;1;2020-01-02;Vente;224000;1
71;71;1;2020-01-02;Vente;367000;1
72;72;1;2020-01-02;Vente;132840;1
73;73;1;2020-01-02;Vente;78500;1
74;74;1;2020-01-02;Vente;72000;1
75;75;1;2020-01-02;Vente;107100;2
76;76;1;2020-01-02;Vente;134000;1
77;77;1;2020-01-02;Vente;68181;1
78;78;1;2020-01-02;Vente;275900;1
79;79;1;2020-01-02;Vente;160000;1
80;80;1;2020-01-02;Vente;267740;2
81;81;1;2020-01-02;Vente;395300;2
82;82;1;2020-01-02;Vente;269000;1
83;83;1;2020-01-02;Vente;406400;1
84;84;1;2020-01-02;Vente;326500;1
85;85;1;2020-01-02;Vente;275050;1
86;86;1;2020-01-02;Vente;138000;1
87;87;1;2020-01-02;Vente;65000;1
88;88;1;2020-01-02;Vente;185750;1
89;89;1;2020-01-02;Vente;235000;1
90;90;1;2020-01-02;Vente;176000;1
91;91;1;2020-01-02;Vente;140000;1
92;92;1;2020-01-02;Vente;170950;2
93;93;1;2020-01-02;Vente;265000;1
94;94;1;2020-01-02;Vente;112000;2
95;95;1;2020-01-03;Vente;102000;1
96;96;1;2020-01-03;Vente;142000;4
97;97;1;2020-01-03;Vente;164000;3
98;98;1;2020-01-03;Vente;33880;1
99;99;1;2020-01-03;Vente;71000;3
100;100;1;2020-01-03;Vente;43000;1
101;101;1;2020-01-03;Vente;181875;1
102;102;1;2020-01-03;Vente;240250;1
103;103;1;2020-01-03;Vente;616900;2
104;104;1;2020-01-03;Vente;212550;1
105;105;1;2020-01-03;Vente;317800;2
106;106;1;2020-01-03;Vente;420000;1
107;107;1;2020-01-03;Vente;44000;1
108;108;1;2020-01-03;Vente;237720;1
109;109;1;2020-01-03;Vente;146000;1
110;110;1;2020-01-03;Vente;69350;1
111;111;1;2020-01-03;Vente;121000;1
112;112;1;2020-01-03;Vente;70000;1
113;113;1;2020-01-03;Vente;145000;1
114;114;1;2020-01-03;Vente;43000;1
115;115;1;2020-01-03;Vente;210800;1
116;116;1;2020-01-03;Vente;210000;1
117;117;1;2020-01-03;Vente;96000;1
118;118;1;2020-01-03;Vente;135000;1
119;119;1;2020-01-03;Vente;37000;3
120;120;1;2020-01-03;Vente;190000;1
121;121;1;2020-01-03;Vente;39450;2
122;122;1;2020-01-03;Vente;28500;1
123;123;1;2020-01-03;Vente;158800;4
124;124;1;2020-01-03;Vente;268800;1
125;125;1;2020-01-03;Vente;96450;1
126;126;1;2020-01-03;Vente;28000;1
127;127;1;2020-01-03;Vente;73470;1
128;128;1;2020-01-03;Vente;49500;1
129;129;1;2020-01-03;Vente;67000;2
130;130;1;2020-01-03;Vente;176000;1
131;131;1;2020-01-03;Vente;278300;1
132;132;1;2020-01-03;Vente;296651;1
133;133;1;2020-01-03;Vente;159500;1
134;134;1;2020-01-03;Vente;98545;1
135;135;1;2020-01-03;Vente;98200;1
136;136;1;2020-01-03;Vente;110500;1
137;137;1;2020-01-03;Vente;44500;3
138;138;1;2020-01-03;Vente;332000;2
139;139;1;2020-01-03;Vente;221060;1
140;140;1;2020-01-03;Vente;174845;1
141;141;1;2020-01-03;Vente;42000;1
142;142;1;2020-01-03;Vente;445000;1
143;143;1;2020-01-03;Vente;232750;1
144;144;1;2020-01-03;Vente;257800;2
145;145;1;2020-01-03;Vente;125000;2
146;146;1;2020-01-03;Vente;104792.58;1
147;147;1;2020-01-03;Vente;146000;1
148;148;1;2020-01-03;Vente;174000;1
149;149;1;2020-01-03;Vente;110000;1
150;150;1;2020-01-03;Vente;370700;1
151;151;1;2020-01-03;Vente;62800;1
152;152;1;2020-01-03;Vente;251105;1
153;153;1;2020-01-03;Vente;342700;2
154;154;1;2020-01-03;Vente;65000;1
155;155;1;2020-01-03;Vente;133000;1
156;156;1;2020-01-03;Vente;66370;1
157;157;1;2020-01-03;Vente;594700;1
158;158;1;2020-01-03;Vente;71000;1
159;159;1;2020-01-03;Vente;140000;1
160;160;1;2020-01-03;Vente;112000;1
161;161;1;2020-01-03;Vente;121000;1
162;162;1;2020-01-03;Vente;109950;1
163;163;1;2020-01-03;Vente;314500;1
164;164;1;2020-01-03;Vente;167600;1
165;165;1;2020-01-03;Vente;157080;1
166;166;1;2020-01-03;Vente;164720;1
167;167;1;2020-01-03;Vente;273080;1
168;168;1;2020-01-03;Vente;118650;2
169;169;1;2020-01-03;Vente;157000;1
170;170;1;2020-01-03;Vente;63885;1
171;171;1;2020-01-03;Vente;255000;1
172;172;1;2020-01-03;Vente;445000;1
173;173;1;2020-01-03;Vente;852000;1
174;174;1;2020-01-03;Vente;335000;1
175;175;1;2020-01-03;Vente;278500;2
176;176;1;2020-01-03;Vente;497270;1
177;177;1;2020-01-03;Vente;1469500;2
178;178;1;2020-01-03;Vente;270000;1
